brand_id,sector,reporting_granularity,role
BR-001,Events,monthly,target
BR-002,Fashion,monthly,target
BR-003,Electronics,daily,calibration
BR-004,Food,daily,calibration
BR-005,Electronics,monthly,target
BR-006,Food,daily,calibration
BR-007,Food,monthly,target
BR-008,Fitness,monthly,target
BR-009,Fitness,monthly,target
BR-010,Food,daily,calibration
BR-011,Electronics,monthly,target
BR-012,Fitness,monthly,target
BR-013,Beauty,daily,calibration
BR-014,Food,monthly,target
BR-015,Fitness,weekly,target
BR-016,Fashion,weekly,target
BR-017,Events,monthly,target
BR-018,Fashion,monthly,target
BR-019,Fitness,daily,calibration
BR-020,Beauty,daily,calibration
BR-021,Beauty,monthly,target
BR-022,Beauty,weekly,target
BR-023,Events,monthly,target
BR-024,Mobility,daily,calibration
BR-025,Beauty,monthly,target
BR-026,Mobility,weekly,target
BR-027,Beauty,monthly,target
BR-028,Food,monthly,target
BR-029,Fashion,weekly,target
BR-030,Fashion,weekly,target
BR-031,Fashion,weekly,target
BR-032,Mobility,daily,calibration
BR-033,Food,weekly,target
BR-034,Food,weekly,target
BR-035,Fitness,daily,calibration
BR-036,Fitness,monthly,target
BR-037,Food,daily,calibration
BR-038,Electronics,monthly,target
BR-039,Fashion,monthly,target
BR-040,Mobility,monthly,target
BR-041,Mobility,daily,calibration
BR-042,Travel,monthly,target
BR-043,Fashion,daily,calibration
BR-044,Fashion,daily,calibration
BR-045,Fitness,weekly,target
BR-046,Fitness,daily,calibration
BR-047,Beauty,daily,calibration
BR-048,Food,monthly,target
BR-049,Food,weekly,target
BR-050,Fashion,weekly,target
BR-051,Mobility,daily,calibration
BR-052,Travel,daily,calibration
BR-053,Electronics,monthly,target
BR-054,Fitness,monthly,target
BR-055,Electronics,daily,calibration
BR-056,Mobility,daily,calibration
BR-057,Fitness,daily,calibration
BR-058,Events,daily,calibration
BR-059,Fashion,monthly,target
BR-060,Fitness,monthly,target
